,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
High,124456221.0,1581967.571,0.0,115993448.3,288917550.25,296669853767832.8,296811109409927.0,310266205554461.5,227121975177226.6,98468867383618.5,217485883499236.0,47556753672509.75,110227589296.667,9083595776.0,37490014.696,944833.83,217610651.0,1414662.0,1381561331.143,0.0,13.0,24636.667,310737623.095
Low,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577130240.0,0.0,0.0,0.0,230409.267,195.857,0.0,0.5,14046.667,0.0
Overall Average,32891005.327345435,791701.7584193549,0.0,58972086.635483876,146897007.88172042,107043898913617.55,104889475682432.38,118713970348619.2,77367640809965.73,34098472313418.63,75356198261511.42,25170690637913.816,51690933100.316315,8910973755.870968,7687843.780881721,310287.13910573476,102974749.27821237,487865.5638208464,696298297.9593065,0.0,12.865591397849462,23706.607596774196,152308631.24962902
Standard Deviation,30474263.586360805,458882.56988157314,0.0,32591776.890591655,81171101.03134875,130150528493631.95,130555819265529.52,127501848202721.75,106256794784821.97,43773457042007.414,98866091890688.9,11963534560370.64,30097057819.425278,155450344.4476043,8338375.244061053,440599.205146259,61271473.77049792,400757.6874996687,398323261.52712625,0.0,1.2892020223958924,2234.245679057375,86420564.52359496
