,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
High,54697515.0,1006183.286,0.0,82932371082.0,207216629503.25,80416883188327.36,13781640162753.5,51627055768243.75,16189003321489.6,5158461913707.333,3044250326838.5,34735867510813.754,2622.576,41624160.667,230437.5,9244919040.0,19083966.652,0.0,234005996.333,185365.4,1152610.333,4208289.571,0.0,69316612.0,61308.667,436774005.143
Low,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577737472.0,0.0,0.0,0.0,0.0,34129.6,1158.571,0.0,1.5,58885.0,0.0
Overall Average,12642680.417327732,503002.3090119048,0.0,41424779774.92774,103504879860.58614,39970390909383.98,6429985627780.539,25633024042221.395,8082481015142.602,2306134589849.87,1525126671116.8909,17058862238436.559,1298.838718487395,22154034.81265545,93666.22773109245,9195625387.02521,3182351.5017378153,0.0,114476952.22130671,69262.45546218487,866979.0352899161,2121967.6314285714,0.0,68151626.94957983,61116.526621848716,218787112.66985717
Standard Deviation,12821582.214227801,292423.7876067829,0.0,24075300302.485115,60155064867.78768,23269360158169.57,3765854811965.8643,14899370810459.23,4697201992752.31,1373933738196.351,881992457430.9363,9923348124208.582,1309.7995905606188,11338517.685903486,63886.67166200548,78314199.84765589,4397629.113080531,0.0,67535243.99178016,45418.682408230394,475150.9800543436,1207178.1478986882,0.0,8910422.257704463,224.13696116122406,125220658.40474264
