,block,cpu,ib,ib_ext,ib_sw,intel_hsw,intel_hsw_cbo,intel_hsw_hau,intel_hsw_imc,intel_hsw_pcu,intel_hsw_qpi,intel_hsw_r2pci,intel_rapl,mem,net,nfs,numa,proc,ps,sysv_shm,tmpfs,vfs,vm
High,5604543.0,17142.0,862798.0,2289988703.0,5717631043.0,509292023143.0,20965835300.0,861400115918.0,612209895.0,125218056948.0,1363030532.0,64856611345.0,1395986873.0,8945357056.0,5661542.0,163907.0,448541.0,1459871.0,194026.0,0.0,66263045.0,9347.0,3645888.0
Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overall Average,201023.17857142858,1224.3541666666667,61628.42857142857,163570621.64285713,408402217.35714287,34752208198.34226,772776929.2619047,59072552375.26786,41399876.4375,6271891717.214286,96778878.17857143,4421325207.964286,51665736.96428572,638814061.7142857,115844.41428571429,5853.821428571428,30060.214285714286,28175.012315270935,13859.0,0.0,4733074.642857143,667.6428571428571,260420.57142857142
Standard Deviation,897773.9953926145,4414.471743074058,222204.4592405557,589762263.492841,1472515135.6943676,125324004372.4918,2914828443.853983,213187267771.57043,149377438.23846176,24725480880.841053,348946026.2771071,15960906101.0011,258885206.12862605,2303276914.5772514,687900.5832313164,30417.34839816342,108636.14864450613,146296.18108220992,49969.33512665543,0.0,17065343.31541984,2407.2205551258517,938959.7234713467
