,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
High,100971982.455,668610.286,0.0,21338221343.5,53305491485.25,19986192304866.184,8652272823229.25,33743757003653.246,1665231635350.0,5065746174438.333,3479625588109.0,24299732460838.0,40107782036.0,9019407360.0,1595109.348,0.0,4343621097.667,1486917.0,53146056.286,0.0,13.0,22717.333,4493357186.429
Low,100971982.455,668610.286,0.0,21338221343.5,53305491485.25,19986192304866.184,8652272823229.25,33743757003653.246,1665231635350.0,5065746174438.333,3479625588109.0,24299732460838.0,40107782036.0,9019407360.0,1595109.348,0.0,4343621097.667,1486917.0,53146056.286,0.0,13.0,22717.333,4493357186.429
Overall Average,100971982.455,668610.286,0.0,21338221343.5,53305491485.25,19986192304866.184,8652272823229.25,33743757003653.246,1665231635350.0,5065746174438.333,3479625588109.0,24299732460838.0,40107782036.0,9019407360.0,1595109.348,0.0,4343621097.667,1486917.0,53146056.286,0.0,13.0,22717.333,4493357186.429
Standard Deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
