,block,cpu,ib,ib_ext,ib_sw,intel_hsw,intel_hsw_cbo,intel_hsw_hau,intel_hsw_imc,intel_hsw_pcu,intel_hsw_qpi,intel_hsw_r2pci,intel_rapl,mem,net,nfs,numa,proc,ps,sysv_shm,tmpfs,vfs,vm
High,6799525.0,17139.0,0.0,34376148.0,85637180.0,242544223863.0,2381381937.0,763013793486.0,662086738.0,279299067153.0,4045046890.0,23403212250.0,35481404.0,8791999232.0,10852254.0,42782264.0,4180638.0,1351683.0,446191.0,0.0,0.0,9703.0,8309895.0
Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overall Average,262433.6346153846,1318.201923076923,0.0,2644319.076923077,6587475.384615385,10452167169.695513,155538837.08333334,58602192087.65385,41577548.067307696,21389678060.653847,270378679.78846157,1699106714.8461537,2618519.6153846155,671010648.6153846,205220.4,1645471.6923076923,285432.96153846156,99667.15934065935,34322.38461538462,0.0,0.0,746.3846153846154,639222.6923076923
Standard Deviation,1128301.8612380426,4566.385457703897,0.0,9160189.98530881,22819684.119526356,36875696464.14655,543580719.8945454,203004214425.12454,147251721.9272088,74096807783.0968,947899541.7100368,5897164186.176888,9079614.045597821,2324527530.7599764,1359276.558503018,8227358.461538461,997324.7720846654,345569.34407278115,118896.2279815331,0.0,0.0,2585.5521516678177,2214332.360855781
