,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
High,54649096.818,693459.0,0.0,64938775217.9,162233674362.25,65203082274709.55,3842806317323.25,36677976205540.0,10798015141106.0,1831947045807.667,545954892345.75,7910738913095.0,20339737.061,135372712.833,3657093.3,11040130816.0,41543703.522,33164.767,144218164.0,2839530.5,1152471.4,8119768.714,0.0,65961991.5,64777.0,1363841380.286
Low,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8585020928.0,0.0,0.0,0.0,0.0,30500.6,1060.571,0.0,5.5,62311.667,0.0
Overall Average,12599555.366576472,343300.080102451,0.0,34717761776.61647,86733853435.85883,31767114808261.742,1587167649701.7163,18311082133817.336,5373628246723.966,640565083264.9589,244474250413.6728,3944777694983.0615,5826770.6541941175,72889981.23922355,1535046.8105882353,9743647935.247059,5403825.961628235,32762.719388235295,72610307.73332942,1269492.5988235294,1012527.1261960785,4206974.788164705,0.0,64409944.770588234,64560.20394117647,726629706.0806589
Standard Deviation,13058368.903140763,202113.03280237442,0.0,20191601249.2085,50443787963.06698,18615845089976.902,1014315182833.9854,10740455801941.744,3155538405374.304,447060100936.9931,164506367021.06534,2339363426141.188,7165886.207877617,40998310.959610574,992352.8610606248,594982806.1010828,10142475.389505154,3574.7059920706665,42510548.855987445,769773.182856438,303562.2283984021,2456715.875054244,0.0,9998361.645116009,276.04863420650867,422871578.0821363
