Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
01:15:35,12626409.364,451208.0,0.0,27005060.7,67247204.5,286252420402142.56,283248467583856.0,290161300592095.0,225315157411827.8,97928570582752.98,211371746853962.25,22441695978893.5,21432456927.0,8805825280.0,6478053.304,0.0,37248000.667,169803.0,5630290.714,0.0,66996230.0,19116.0,67298045.381
01:25:27,32791711.364,1693383.429,0.0,102760033.9,255885885.75,568139972458565.9,564878453786310.8,572158034666781.2,450506305938550.0,198865803732628.0,422499859094693.75,40446039078481.51,78726022306.333,8821347328.0,13302396.0,1.5223041225876815e+18,94621366.333,170549.667,20722092.857,0.0,66996230.0,26593.0,160186744.095
01:25:35,12735926.0,459821.714,0.0,27531313.7,68557805.0,286453155296032.06,283323213844349.5,290517803752829.0,225320841830279.6,98030852809258.17,211382919874854.75,22645711623019.0,21457417389.333,8806412800.0,6521005.913,0.0,37674428.0,169803.0,5725562.714,0.0,66996230.0,19103.0,67957036.048
01:35:28,32869195.455,1701950.429,0.0,103280406.1,257181663.75,568312514285382.5,564942395150240.8,572490434671274.8,450511157932320.6,198987611827057.66,422509408861016.25,40621055435062.49,78748433010.667,8821364480.0,13341012.217,1.5223041225876815e+18,94912377.333,170549.667,20860477.143,0.0,66996230.0,26606.0,160642797.429
01:35:35,12792545.182,468390.429,0.0,28036419.5,69815677.75,286644387627210.44,283393250837368.5,290864801936082.25,225326182901495.6,98140571427300.83,211393430307874.25,22837357783751.5,22825737120.667,8806160896.0,6559927.348,0.0,38130590.333,169803.0,5833429.286,0.0,66996230.0,19132.0,68602078.095
01:45:28,32952269.727,1710517.857,0.0,103806076.7,258490668.75,568499682747126.8,565012254242027.8,572835310778925.0,450516448047798.2,199099447149686.34,422519874020511.5,40812175363253.75,78772137379.333,8821352704.0,13384590.696,1.5223041225876815e+18,95213060.333,170549.667,20975403.143,0.0,66996230.0,26654.0,161131505.0
01:45:35,12850660.909,476958.857,0.0,28548191.9,71090135.25,286839294412189.25,283465505611931.0,291215279454652.06,225331659391647.8,98247231808659.33,211404255557829.0,23035139456008.754,22850161244.667,8806316288.0,6599563.783,0.0,38605633.0,169803.0,5934603.857,0.0,66996230.0,19132.0,69322317.619
01:55:28,33058053.364,1719086.429,0.0,104322465.7,259776658.5,568699663754742.1,565086827313460.0,573189722830509.0,450522065919838.0,199202788269161.0,422530988921843.25,41015980096272.75,81485536504.333,8821805056.0,13419678.391,1.5223041225876815e+18,95458098.667,170549.667,21068192.143,0.0,66996230.0,26625.0,161650434.19
01:55:35,12927772.273,485525.714,0.0,29052405.5,72345678.0,287009943476948.6,283528411171178.75,291545776756162.25,225336451059251.2,98370734915667.83,211413707152995.25,23207470860530.0,22872375871.333,8806292224.0,6640470.696,0.0,38951695.667,169803.0,6076774.0,0.0,66996230.0,19135.0,69892890.952
02:05:28,33139259.455,1727654.0,0.0,104830555.5,261042089.75,568886201058940.4,565155475199348.0,573532633023173.8,450527253790911.2,199315861742654.16,422541254059522.75,41204281442751.25,81509116725.333,8821848064.0,13468750.478,1.5223041225876815e+18,95817080.0,170549.667,21185029.143,0.0,66996230.0,26606.0,162240155.619
02:05:35,13008235.909,494094.0,0.0,29569263.7,73632688.75,287210838265168.25,283603119452082.5,291901157121043.25,225342124582662.03,98473708593702.5,211424901112231.75,23411675291587.5,22897322529.333,8806413312.0,6696496.87,0.0,39443794.667,169803.0,6168485.286,0.0,66996230.0,19180.0,70518048.095
02:15:28,33214881.727,1736221.571,0.0,105352935.5,262342882.75,569076629678053.1,565226315851724.5,573879653826601.0,450532604456751.6,199425204329103.5,422551828687344.5,41398186832980.75,81533105914.333,8822066944.0,13507448.174,1.5223041225876815e+18,96116400.333,170549.667,21294703.286,0.0,66996230.0,26638.0,162768771.476
02:15:35,13082737.545,502662.143,0.0,30083207.7,74912495.25,287403880990706.25,283674731952524.25,292250813229843.75,225347568484442.8,98581102346715.5,211435663876023.0,23607912395676.754,24265834545.0,8806722560.0,6739040.913,0.0,39807772.667,169803.0,6273412.143,0.0,66996230.0,19148.0,71155140.81
02:25:28,33292731.909,1744790.286,0.0,105871922.5,263635334.25,569277779136025.1,565301640266307.2,574234945691300.5,450538285056731.2,199527320285259.66,422563039316471.5,41604103249340.49,81558023059.333,8822254080.0,13544739.348,1.5223041225876815e+18,96412571.333,170549.667,21387522.143,0.0,66996230.0,26609.0,163247307.0
02:25:35,13194492.0,511230.0,0.0,30595674.9,76188698.25,287594592769999.06,283745200198922.25,292598731626490.25,225352894755945.8,98689475532477.66,211446210288601.75,23800895842225.246,24289860061.333,8806532864.0,6775300.913,0.0,40164857.0,169803.0,6382564.571,0.0,66996230.0,19119.0,71743390.19
02:35:28,33374312.636,1753357.0,0.0,106383057.3,264908308.25,569452399578031.9,565366174126309.8,574568881710408.5,450543189390543.0,199648058645410.5,422572681168386.25,41780861090496.0,81580576428.0,8821892096.0,13589602.913,1.5223041225876815e+18,96656427.667,170549.667,21523445.0,0.0,66996230.0,26606.0,163677242.095
02:35:35,13253353.727,519798.571,0.0,31117865.3,77488970.0,287793699546700.25,283818666385084.75,292952677015029.25,225358472277008.0,98794566580935.33,211457247691617.0,24001731135322.754,24314636085.667,8806541824.0,6820720.652,0.0,40655935.667,169803.0,6477153.0,0.0,66996230.0,19132.0,72376164.571
02:45:28,33449189.091,1761924.857,0.0,106913594.1,266229408.75,569639502768413.0,565435981664743.0,574913925450535.0,450548512877038.8,199758918614447.0,422583144035536.25,41971858949950.49,82948547710.0,8821947136.0,13645938.348,1.5223041225876815e+18,97067220.0,170549.667,21641596.571,0.0,66996230.0,26638.0,164180972.095
