Stat,Schema,08:33:48,08:43:49,08:53:49,09:03:49,09:13:49,09:23:49,09:33:49,09:43:49,09:53:49,10:03:50,10:13:50,10:23:50,10:33:50,10:43:50,10:53:50,11:03:50,11:13:50,11:23:50,11:33:50,11:43:50,11:53:50,12:03:51,12:13:51,12:23:51,12:33:51,12:43:51,12:53:04
intel_hsw_pcu,MAX_TEMP_CYCLES,0,0,115,0,311,13,0,0,0,0,0,268216,75408,504769,102150,0,0,0,0,46936064,3037033,1091789,12892,0,20235,0,0
intel_hsw_pcu,MAX_POWER_CYCLES,0,0,0,0,0,0,309620,0,0,6850,0,267852,477,52124,441,15,0,639,0,5775,18252110,1,270288,0,167038,0,0
intel_hsw_pcu,MIN_IO_CYCLES,0,0,1,0,533,0,0,0,0,67830,0,405580,30,52124,0,0,0,0,957480,0,3436911,15507,269952,0,877,0,0
intel_hsw_pcu,MIN_SNOOP_CYCLES,269228,49115,504769,153916,813,0,4332,0,0,319,0,96,27,0,10,0,1,0,1,1691,18242363,151959,405564,0,0,0,104019848
intel_hsw_pcu,C3_CYCLES,268864,0,1745504,0,628592,1276,45801,0,0,0,0,16248,0,677511,0,779313,12411,0,16653,6686,0,607,96,0,69,0,0
intel_hsw_pcu,C6_CYCLES,405580,531,1745480,2126,628564,2741,198,0,0,27,0,24876,0,72,0,0,117784,0,104414,0,3632,0,16248,0,0,1302335,0
osc,read_bytes,96,10268,12892,23799,12892,66695168,0,0,0,524,519017,756,0,17644,0,11122,538,0,610,0,4318,25,24876,0,0,3,0
osc,write_bytes,16248,80,1533848,143,268736,507,17,0,0,0,0,0,0,83225,0,109019,0,0,0,0,105603072,0,1143995,0,0,21045,0
osc,ost_destroy,24876,0,1533544,0,268372,2436,478,361533,0,2,7506,2,0,518,0,472,15,0,675,0,920,0,1,0,0,175183,0
osc,ost_punch,752,0,1522500,2,405580,1469,924909,0,0,504769,73053,131072,0,33,0,0,0,0,0,1012658,7609,0,16160,0,0,937,0
osc,ost_read,0,0,99884,0,204878,14114816,0,5177,0,185324,336,3,0,30,0,10,0,0,1220,1,6206,0,159054,0,0,0,0
osc,ost_setattr,2,0,0,0,0,371,0,53003,0,119788,0,0,0,0,729107,0,829742,0,1220,17636,49172480,0,646,0,0,73,0
osc,ost_statfs,262144,0,1419,0,2856,0,53,230,0,0,29,2,0,2,72,0,0,0,204,108178,5831,0,0,0,0,0,1351623
osc,ost_write,3,0,18567,0,32060,583,0,0,0,2288,0,569785,0,504769,19198,12976,12092,0,96,634,0,0,26,0,0,0,3
osc,reqs,0,0,115,0,182,877,5037,18,561,2284,0,0,0,628576,89942,2232225,117565,0,0,0,1734,0,0,1194902,0,0,21866
osc,wait,2,0,0,0,0,0,1277,0,413880,69884,0,8358,0,628548,567,0,525,16,0,719,6742,0,38551246,1,0,0,180423
ib,excessive_buffer_overrun_errors,504769,0,1,0,2,0,2741,0,0,96,0,81380,0,12892,35,0,0,0,0,0,1066311,3632,1,16998,0,0,954
ib,link_downed,625488,0,625488,153858,3,256900,66699264,0,5816,152,0,378,0,267900,33,12989,16,0,0,0,1,4318,0,167281,0,0,0
ib,link_error_recovery,625460,0,625460,0,0,0,507,0,59993,15956,0,0,0,267532,0,781294,0,883761,0,0,18452,105603072,8251573204,668,0,0,74
ib,local_link_integrity_errors,0,0,12892,2149,2,3719,2927,0,248,136,0,32,0,405564,0,72,0,0,0,0,113644,920,43047674028,0,0,0,0
ib,port_rcv_constraint_errors,0,0,136344,23834,504769,39127,1678,0,0,0,0,108,623766,96,0,20430,0,12850,0,0,656,7949,3341596,27,0,0,0
ib,port_rcv_data,0,0,136344,142,625480,223,16613376,0,18,3,0,864,0,16248,0,96409,0,122751,0,0,0,6388,20141089,0,1249003,0,0
ib,port_rcv_errors,0,0,342056,0,0,0,409,0,0,464754,0,85716,9101,24876,0,602,0,548,0,0,746,50909184,3784232,0,1,0,0
ib,port_rcv_packets,0,0,108,1,0,3,0,0,66,0,0,536,86643,760,0,38,0,0,0,987154,504769,5913,20130546,0,17726,0,0
ib,port_rcv_remote_physical_errors,0,0,864,0,204807,0,614,0,1089,6705,0,0,386,0,0,34,0,23,0,1,628576,0,0,0,172428,0,0
ib,port_rcv_switch_relay_errors,0,0,85716,0,0,0,914,0,726,68194,0,2,0,2,0,0,831642,354906,934791,0,628548,1792,10543,0,685,0,0
ib,port_xmit_constraint_errors,540,49138,536,0,2878,0,4295,1277,0,269,0,504769,33,504769,0,0,72,0,0,0,12892,6824,12892,0,0,0,0
ib,port_xmit_data,0,0,0,0,32110,0,45551,2741,0,0,0,625496,0,674766,0,0,21913,1295,13668,0,267248,695,3632,0,28,0,0
ib,port_xmit_discards,2,509,2,0,181,0,248,66699264,66,26,0,625472,0,0,0,0,104451,1500,130876,0,266584,0,4318,0,478,1299928,0
ib,port_xmit_packets,504769,10252,504769,0,0,0,0,507,66,96,518781,12892,0,9757,0,0,658,1102,570,0,405564,789,105603072,0,3674652,1,0
ib,port_xmit_wait,1745504,67,628592,0,2,0,3,3422,0,16248,1,128596,0,94947,0,12753,41,359325,0,0,1039195,0,920,0,0,18443,0
ib,symbol_error,1745480,0,628564,0,0,256818,0,1894,594,24876,7404,128596,0,421,0,0,36,2475,23,0,1,0,8359,0,0,180736,0
