Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:04:19,10551172710.818,2192199.429,0.0,104925102.1,261418998.25,181097165692113.8,31082870907294.754,118467188418393.5,36523758767958.8,8249678435847.333,22414799215185.754,79252689505458.75,0.0,84886102.333,2962569.4,8763064576.0,11699219.696,18480.942,968024500.0,3624325.0,1152472.467,110226165.286,0.0,0.5,40688.333,11912023529.429
00:04:20,2693217548.364,958145.429,0.0,46344983.7,115456893.5,74025067999026.36,19537331115691.246,53495514766458.75,16834560941240.2,2716268053519.666,14206795082669.5,45532101048176.0,0.0,37214038.333,1594629.6,9611642880.0,5127170.13,589.262,433374552.667,1940895.1,1152471.4,37429149.714,0.0,0.5,40644.0,3212816288.238
00:14:19,10601852861.273,2200771.571,0.0,105327883.9,262422631.75,181880988654671.9,31145085182329.0,118910445520919.02,36656635228996.4,8290224965600.5,22448171032761.754,79434521429838.75,0.0,85217158.333,2976053.6,8763701248.0,11741238.87,18506.961,977081009.667,3632806.9,1152472.467,110782849.857,0.0,0.5,40706.0,11973046994.095
00:14:20,2694058959.0,966718.286,0.0,46770942.9,116517774.75,74663450258670.45,19745532281998.754,53977739504513.0,16989459834323.6,2772463701300.834,14355187183812.25,46015208323092.25,0.0,37545094.333,1611815.9,9611680000.0,5292658.348,589.262,433414285.833,1945100.6,1152471.4,37711981.571,0.0,0.5,40660.0,3213743866.81
00:24:19,10627548625.182,2209343.143,0.0,105739120.1,263447443.0,182626452742955.72,31195034579008.0,119350324186463.25,36786484128414.8,8317691701500.167,22460551609240.5,79550297573365.5,0.0,85548214.333,2988040.3,8641932032.0,11788142.261,19476.471,980492408.333,3638115.9,1152472.467,111449378.714,0.0,0.5,40690.0,12003125643.714
00:24:20,2758809049.636,975291.143,0.0,47203229.5,117594318.5,75357321438758.81,19874398084708.5,54444416156798.75,17134000665532.6,2800802934239.666,14451520032869.0,46341362196176.75,0.0,37876150.333,1626596.2,9611790592.0,5334912.652,619.709,436143188.833,1952066.6,1152471.4,38134539.143,0.0,0.5,40597.667,3284359570.571
00:34:19,10672648974.818,2217913.0,0.0,106150112.7,264471445.25,183376973848397.53,31236185161240.0,119795072744112.25,36917254454259.0,8346343324892.5,22479445885189.0,79667587504106.0,0.0,85879270.333,2997311.1,8753059840.0,11841566.522,19580.704,984649284.667,3651322.6,1152472.467,112090589.429,0.0,0.5,40738.0,12054908189.619
00:34:20,2758887288.727,983862.571,0.0,47631111.7,118660029.5,75985697358386.9,20091034860243.754,54925531788358.49,17286730296093.4,2838539041350.166,14600490725696.25,46812997591303.0,0.0,38207206.333,1643721.4,9611692288.0,5380149.565,619.709,436145324.5,1969857.4,1152471.4,38418760.0,0.0,0.5,40532.0,3284475233.857
00:44:20,10723510444.182,2226485.0,0.0,106546564.3,265459500.75,184160087413397.8,31301233998205.0,120237351092097.5,37049954280707.2,8386772403193.833,22513516019809.5,79851031528385.75,0.0,86210326.333,3008323.2,8755364352.0,11880989.652,19580.704,993932785.667,3659288.3,1152472.467,112643577.429,0.0,0.5,40720.333,12116165416.143
00:44:21,2798540575.0,992435.429,0.0,48055481.5,119717036.75,76654406793702.19,20271723929179.754,55402538062538.25,17436477862229.4,2872474733901.834,14731695712301.0,47228929495513.0,0.0,38538262.333,1659527.3,9611831296.0,5417837.348,619.709,437899984.167,1985515.5,1152471.4,38751462.429,0.0,0.5,40563.667,3327528038.857
