Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:08:50,504225861.909,456497.429,26940.118,23272350.5,57937437.75,282203906353556.2,281563333801545.5,284179292254241.25,225184916419223.6,59446561066863.0,211125541974679.75,17987647153681.5,8575000004.333,8635936768.0,5536549.957,0.0,58207268.333,1171048.933,2305601.714,0.0,0.5,7395.667,574683408.714
00:18:50,509127258.727,465097.714,27440.647,23750417.5,59127500.5,282253215757091.56,281569460816295.25,284360150647349.75,225185253947129.2,59777972198333.0,211126907509337.25,18012681466913.5,8584702476.333,8636236544.0,5965436.783,0.0,58451316.333,1171048.933,2359344.857,0.0,0.5,7417.0,579680552.143
00:28:50,513797990.909,473673.286,27942.235,24181521.1,60200916.0,282300883348420.06,281575416556652.75,284540482890909.25,225185588255199.6,60099668328161.664,211128236158131.0,18036342807136.754,8594356720.0,8636154368.0,6041605.913,0.0,58977262.667,1171048.933,2395296.429,0.0,0.5,7406.333,584794153.143
00:38:51,516190354.182,482248.286,28438.176,24614081.9,61278062.75,282349898333500.56,281581881331532.75,284720713228544.25,225185868075929.4,60404139095599.0,211129336713797.0,18060699579753.0,8603972158.333,8636269312.0,6093461.0,0.0,59196769.667,1171048.933,2429627.571,0.0,0.5,7406.0,587405244.143
00:48:51,520970806.636,490822.714,28939.941,25042827.1,62345612.25,282398261578444.2,281587328426265.75,284901055854355.0,225186227384148.8,60736769854456.0,211130801295937.25,18083325426649.0,8613593973.667,8635391744.0,6149803.739,0.0,59584136.667,1171048.933,2464579.0,0.0,0.5,7407.667,592720677.524
00:58:51,522820099.0,499396.857,29439.941,25473871.9,63418872.25,282447454681758.6,281593010844249.25,285081338185488.75,225186546082112.6,61072659406831.51,211132061035441.0,18106384849350.246,8623208183.667,8636238336.0,6199242.783,0.0,59969996.333,1171048.933,2499303.714,0.0,0.5,7390.333,595017975.429
01:08:51,526353036.182,507970.714,29932.647,25906104.1,64495208.5,282497152847317.4,281599174452064.0,285261542947789.25,225186834351918.8,61341101116598.0,211133179089915.0,18130774091800.0,8632802834.333,8636271616.0,6238245.13,0.0,60143768.667,1171048.933,2534095.286,0.0,0.5,7406.0,599011870.905
01:18:52,530825436.364,516545.0,30425.882,26334045.3,65560767.25,282545153420287.06,281604788076538.0,285441847098336.25,225187175016327.4,61678899413485.17,211134571826332.75,18155913499637.246,8642407706.0,8636052992.0,6283232.261,0.0,60454649.333,1171048.933,2568147.571,0.0,0.5,7423.667,604051657.952
01:28:52,534310991.0,525119.143,30930.176,26774521.9,66657571.5,282592755984095.94,281610511408314.25,285622072889103.25,225187481220174.8,62018785255686.17,211135767048216.25,18181000871375.0,8651945769.667,8636173824.0,6329474.478,0.0,60745460.667,1171048.933,2602001.857,0.0,0.5,7406.333,608065477.762
01:38:52,537334790.0,533693.143,31420.353,27202145.5,67722402.5,282640705023080.25,281616262589111.25,285802300318483.25,225187797344486.4,62355706721639.17,211137001583029.0,18206288578110.0,8661495219.333,8636201472.0,6388429.565,0.0,61012986.0,1171048.933,2636384.429,0.0,0.5,7421.667,611638394.571
01:48:53,542421601.182,542268.143,31914.588,27627666.5,68781967.5,282689256037896.2,281621877688437.0,285982590401832.0,225188134791510.6,62692305647636.664,211138311632330.75,18231249712684.0,8671068173.667,8636335104.0,6433673.304,0.0,61278879.0,1171048.933,2670645.857,0.0,0.5,7437.667,616954926.857
01:58:53,546017408.091,550842.286,32407.412,28057536.1,69852394.5,282737753935397.8,281627523586870.75,286162793640343.75,225188442971983.2,63027428410925.51,211139456149464.25,18256003503753.0,10024889853.333,8636383232.0,6473228.435,0.0,61498920.0,1171048.933,2704795.143,0.0,0.5,7406.667,620940104.238
02:08:53,551472510.455,559416.143,32894.235,28480958.7,70906732.75,282785062180364.4,281632982069720.5,286342996199103.5,225188756320357.6,63364900252872.336,211140647880092.25,18280191533930.5,10034425467.667,8636361728.0,6508195.652,0.0,61772435.0,1171048.933,2738488.571,0.0,0.5,7405.667,626884801.19
02:18:53,554715686.545,567989.857,33384.176,28912040.5,71980205.5,282832744982107.8,281639179632584.5,286523310879883.5,225189142875021.4,63699689614169.51,211142110069207.75,18307292945860.5,10044062170.333,8636506112.0,6557006.652,0.0,61998992.667,1171048.933,2772624.143,0.0,0.5,7405.667,630512384.429
02:28:54,587416884.182,576563.714,33879.118,29343759.7,73055254.25,282881123293284.75,281645123172637.75,286703525156927.25,225189461865419.4,64021128643637.0,211143290692902.75,18333553976345.0,11397924381.333,8636923648.0,6603239.913,0.0,62251660.0,1171048.933,2811148.857,0.0,0.5,7390.0,665127581.048
02:38:54,592497452.273,585137.857,34365.706,29767821.3,74111277.25,282928188614009.94,281650687013215.75,286883714187298.75,225189773207743.8,64303186365950.664,211144456943744.5,18358544835948.246,11407464511.333,8636460800.0,6655088.478,0.0,62468117.333,1171048.933,2845739.571,0.0,0.5,7389.667,670702553.571
02:48:54,597370208.0,593712.143,34861.235,30190329.1,75163364.0,282975309547586.6,281655970358482.25,287063957211490.25,225190103462827.4,64642339334510.49,211145693702415.5,18383091594077.5,11416996642.0,8636911104.0,6694018.13,0.0,62796853.667,1171048.933,2879848.286,0.0,0.5,7391.333,676012522.476
02:58:55,603390602.182,602286.857,35351.706,30615703.1,76222666.0,283023029751510.4,281661729204996.25,287244167092327.25,225190415873031.8,64975978557460.0,211146833420827.5,18408547389812.246,11426558069.667,8636923392.0,6741295.391,0.0,62985923.0,1171048.933,2914674.0,0.0,0.5,7391.667,682505066.857
03:08:55,609124275.545,610861.0,35846.882,31041255.9,77282422.25,283070580976783.4,281667425965716.75,287424440732222.25,225190755492250.8,65309499561269.17,211148146683725.5,18434209606821.754,11436142476.0,8637459200.0,6784628.174,0.0,63286367.667,1171048.933,2949971.857,0.0,0.5,7391.333,688790149.667
03:18:55,615183434.727,619434.857,36342.294,31462475.9,78331340.75,283117286224411.06,281673056509494.5,287604808451603.25,225191146226300.4,65643513257305.336,211149889629814.25,18460199930215.0,11445802393.0,8637518080.0,6827435.13,0.0,63498645.333,1171048.933,2985072.143,0.0,0.5,7407.333,695306317.524
03:28:55,619288329.545,628009.286,36838.235,31888411.5,79392072.25,283165011328762.0,281678430097287.5,287785172220600.0,225191508861239.8,65957806004636.17,211151533600512.75,18485352728161.754,11455457853.667,8637600512.0,6869594.609,0.0,63746143.667,1171048.933,3020584.571,0.0,0.5,7407.667,700006502.857
15:16:04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8574898944.0,0.0,0.0,0.0,1171048.933,1145.429,0.0,0.5,6353.0,0.0
15:26:04,23820053.909,8574.571,522.882,421614.5,1049699.0,45290447887.909,4209430988.75,180374315506.25,443950859.0,325018617101.667,1418091680.75,26287422166.75,9407637.667,8607538944.0,50726.391,0.0,1499835.333,1171048.933,39146.857,0.0,0.5,7482.0,25868899.429
15:36:04,37264796.364,17148.714,1008.706,845918.9,2106358.0,91741479271.909,8464054577.75,360723179563.75,898634742.2,657529859960.667,2902938979.0,52097854946.0,18847630.0,8607936256.0,102190.435,0.0,3031575.0,1171048.933,75275.429,0.0,0.5,7483.333,41581766.0
15:46:05,54592085.727,25722.571,1496.235,1271950.1,3167307.5,136374084220.0,12858557868.75,540956661192.75,1284176968.2,972311122744.667,4241680417.5,78597518634.5,28257829.667,8603799552.0,151812.87,0.0,4456758.667,1171048.933,112126.143,0.0,0.5,7464.333,60890387.381
15:56:05,70708249.0,34296.714,2012.706,1688481.5,4204325.25,181389750339.636,17472397355.25,721654447318.75,1521608936.4,1301098342545.333,5395097658.0,109122100504.0,37865349.333,8623879680.0,201247.348,0.0,5785007.667,1171048.933,148944.286,0.0,0.5,7430.667,78868993.19
16:06:05,85708774.182,42871.0,2545.471,2112912.7,5260937.25,227502354709.364,21605105599.5,902536315780.25,1771540294.6,1539850747474.833,6866092187.75,139982960805.0,47481848.667,8624216320.0,244981.826,0.0,7341372.0,1171048.933,184419.286,0.0,0.5,7489.333,95636657.952
16:16:06,102223780.909,51443.714,3055.588,2517022.1,6266940.5,268680371246.909,26652405309.75,1082966777285.25,1994452122.0,1807981089549.667,7856818026.75,171280442190.25,56931418.333,8608027648.0,419516.826,0.0,8455851.0,1171048.933,221932.286,0.0,0.5,7519.667,113977712.714
16:26:06,116666573.273,59975.286,3563.941,2946617.9,7336649.25,274337890930.364,31119487833.0,1263361266938.0,2433199765.4,2133850267994.0,9273383209.0,202746251677.75,66393486.667,8609269248.0,467572.348,0.0,10255081.0,1171048.933,276411.429,0.0,0.5,7503.333,130335814.952
16:36:06,131115223.818,68536.429,4097.765,3370147.9,8391055.75,290379244675.364,36578658278.75,1443565635305.5,2793957583.2,2455802976400.5,10627133921.0,236794693032.25,75792400.667,8603170816.0,511792.0,0.0,11691970.333,1171048.933,316548.857,0.0,0.5,7519.667,146528527.857
16:46:06,148657584.727,77110.571,4616.118,3771200.1,9389362.5,336504866903.0,40878705907.25,1623813491765.5,3226937994.8,2786508375006.0,11707657237.5,265959941723.0,1429483980.667,8608374016.0,559210.87,0.0,13248785.667,1171048.933,353229.714,0.0,0.5,7517.667,165791059.524
16:56:07,163235574.545,85685.0,5126.941,4175415.9,10395594.0,381877063834.454,45294931959.0,1804041671654.25,3673109802.4,3102903844549.0,12873876553.5,295357186339.25,1438895132.333,8594514944.0,605031.478,0.0,15023908.333,1171048.933,389503.0,0.0,0.5,7503.667,182552011.0
17:06:07,179465666.909,94259.571,5642.353,4598434.1,11448872.75,427652092402.0,50414593610.75,1984580548467.75,3949789653.4,3361416267435.0,14003185340.5,322628200581.75,1448407317.667,8621734656.0,666335.87,0.0,16396041.333,1171048.933,428308.857,0.0,0.5,7520.333,200282197.19
17:16:07,195690024.818,102833.571,6151.176,5022448.9,12504702.75,473381173550.364,54532524690.5,2165321873410.25,4251031391.8,3697148033477.166,15389397310.75,349441204261.75,1457999264.333,8597242368.0,829744.13,0.0,18196718.667,1171048.933,465308.429,0.0,0.5,7489.0,218927595.0
17:26:08,210298921.182,111408.0,6677.588,5434123.7,13529559.25,518462509584.909,59561110900.25,2345556409361.25,4565504999.6,3999002249484.834,16444420945.0,378547914010.0,1467395775.0,8610135808.0,875642.826,0.0,19281726.333,1171048.933,503358.143,0.0,0.5,7474.0,235231563.19
17:36:08,225128255.636,119982.286,7174.765,5841220.3,14543173.75,564666689844.455,63899933625.75,2525907892003.25,5041832257.4,4318493430134.5,18026763034.0,402789068846.5,1476872753.0,8610714880.0,912474.739,0.0,20862070.0,1171048.933,559700.571,0.0,0.5,7472.0,252195363.524
17:46:08,240939248.455,128556.0,7667.765,6249500.9,15559738.5,608905969621.545,69081238348.25,2706343171652.0,5303205090.4,4638566095188.833,19094617017.5,434579120967.5,1486357904.333,8622904320.0,953431.174,0.0,22147655.0,1171048.933,597063.0,0.0,0.5,7439.667,269635269.476
17:56:08,257483080.0,137129.857,8190.882,6676617.7,16623130.5,654988842046.364,73237579804.0,2887233722631.0,5557684406.4,4972365972753.0,20543723119.25,460110076634.0,2840303501.0,8623461632.0,1006100.522,0.0,23735570.667,1171048.933,633552.143,0.0,0.5,7454.667,288112614.571
18:06:09,273654988.455,145704.286,8688.118,7092963.5,17659813.75,699707153721.455,78594726395.5,3067640042753.25,5808616911.6,5258423950112.5,21490497401.0,492228907695.75,2849734379.333,8610255872.0,1049247.696,0.0,24858466.333,1171048.933,671964.571,0.0,0.5,7488.333,306029978.619
18:16:09,288171703.364,154278.429,9195.824,7504340.1,18684000.5,745834668340.909,82825661288.75,3248056702424.75,6260680264.6,5510869121701.833,22766826279.0,518643080160.0,2859209167.0,8611490304.0,1096195.783,0.0,26648147.0,1171048.933,708907.429,0.0,0.5,7470.333,323070576.571
18:26:09,305648671.182,162852.571,9712.529,7912954.1,19701235.5,790053618911.545,88034918874.5,3428424304532.5,6527795260.8,5727659105561.667,23743593295.5,547617859003.25,2868669683.667,8622973952.0,1135376.87,0.0,27922391.333,1171048.933,746978.714,0.0,0.5,7456.333,342296084.952
18:36:10,320376229.091,171427.0,10216.176,8335039.1,20752211.5,836315548856.909,92272024985.5,3609338660542.5,6772718574.0,6019716198751.833,25262700526.75,574450480171.75,2878293057.667,8623319808.0,1176280.217,0.0,29647216.333,1171048.933,783744.714,0.0,0.5,7438.333,358870555.429
18:46:10,335430313.909,180000.571,10716.647,8742401.7,21766408.25,880979336848.273,97736187939.75,3789774519202.0,7022665388.8,6314308074948.667,26334749457.75,603919897700.5,2887712495.667,8608267520.0,1230640.652,0.0,30837981.667,1171048.933,821390.143,0.0,0.5,7440.333,375539542.095
18:56:10,349627935.273,188574.714,11234.529,9168614.1,22827606.75,927080955850.818,102021885851.75,3970098771983.5,7480291416.6,6616150047504.333,27565552729.25,632485396664.5,2897166674.0,8610695424.0,1269476.739,0.0,32699353.0,1171048.933,857750.714,0.0,0.5,7470.667,391826530.095
19:06:10,365138651.091,197148.286,11743.353,9577348.9,23845151.75,971181188137.545,107108780320.25,4150579356884.75,7709308645.0,6888481950131.0,28638933441.25,659583122239.75,2906660951.333,8620865792.0,1307123.522,0.0,34031636.0,1171048.933,895173.714,0.0,0.5,7440.333,409098246.095
19:16:11,381391571.909,205722.143,12240.941,9965021.9,24810112.75,1016946775852.182,111434027745.5,4331557841812.25,7910802973.0,7196878989727.833,30407463816.5,685814291028.25,4260597915.333,8593351424.0,1355327.783,0.0,35605937.333,1171048.933,932494.143,0.0,0.5,7439.667,427283988.714
19:26:11,402172731.727,214295.714,12751.294,10378578.1,25839754.0,1063238340807.091,116700938280.5,4512457571433.0,8298666484.2,7486984955268.667,31302062973.0,716928123240.0,4270184738.333,8631937024.0,1401921.043,0.0,36000406.333,1171048.933,970568.0,0.0,0.5,7410.0,449496308.81
19:36:11,404030195.455,222870.143,13238.059,10803506.3,26897984.5,1110939872488.727,119051418498.75,4693329201193.0,8638343820.6,7700151554402.667,32434016210.0,736959787004.75,4279825364.333,8637396736.0,1441024.87,0.0,37995120.333,1171048.933,1004493.714,0.0,0.5,7441.667,453339251.0
19:46:12,404109921.364,231445.286,13724.471,11234020.3,27970121.5,1158484094050.182,121975211771.25,4874612020774.75,9099476526.6,7997671018300.333,33748650049.75,760567420439.5,4289610907.0,8637439744.0,1494567.522,0.0,39800964.333,1171048.933,1037524.0,0.0,0.5,7408.0,455144259.667
19:56:12,405678813.727,240019.714,14217.647,11660975.9,29033313.75,1204765226212.546,124787295361.5,5055889979373.25,9556475053.8,8335172028433.333,35130287768.25,783683785186.75,4299390422.667,8637692416.0,1544457.652,0.0,41827978.333,1171048.933,1071396.286,0.0,0.5,7472.333,458852225.524
20:06:12,407341548.273,248593.714,14712.294,12078567.7,30073164.75,1249998607673.546,127903250204.5,5237226560500.5,10050039539.6,8627307787718.0,36707982177.5,808304174494.25,4309222766.333,8637681408.0,1591407.217,0.0,43791136.0,1171048.933,1104823.714,0.0,0.5,7424.0,462464365.524
20:16:13,421626270.364,257167.857,15228.412,12501419.3,31125849.25,1295667921946.818,130707295310.5,5417943471474.0,10394577040.2,8955768534709.0,37927275454.0,828631992242.5,4318855385.667,8619103488.0,1770916.174,0.0,46322378.333,1171048.933,1141569.0,0.0,0.5,7442.333,479743613.333
20:26:13,425127479.545,265742.429,15700.588,12921131.7,32171101.75,1344260861166.182,136644339833.25,5598233994347.25,10699080575.0,9287604504163.166,38904652087.75,863323493739.5,4328475026.0,8628367360.0,1807859.043,0.0,46794102.667,1171048.933,1175395.143,0.0,0.5,7456.667,483738423.381
20:36:13,428936814.727,274316.571,16212.059,13336304.5,33204745.0,1392717946415.364,142610548118.75,5778515110741.5,11014973808.2,9606150162016.834,39890463602.5,898174010689.5,4338096506.0,8628724992.0,1842498.043,0.0,47266445.0,1171048.933,1229533.0,0.0,0.5,7419.0,488229371.524
20:46:13,433476490.273,282890.857,16734.353,13755924.9,34249334.25,1441485500062.364,148110670027.75,5958783511816.25,11314071152.0,9900096515183.0,40832727654.25,930824621971.5,4347728680.667,8629370112.0,1889160.13,0.0,47638466.333,1171048.933,1263887.571,0.0,0.5,7393.333,493065537.81
