Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:39:09,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12545286912.0,0.0,0.0,0.0,0.0,0.333,178.143,0.0,2.0,71573.0,0.0
00:49:09,168762.455,8571.0,0.0,8111368.1,20268007.0,743544455507.182,13563024694.0,437252478636.0,130348314193.8,86865021610.167,7923309585.0,83920372731.75,0.0,12725491.333,4060.2,12594149888.0,53919.304,0.0,121487.333,3948.3,0.333,38130.429,0.0,2.0,73318.333,305388.667
00:59:09,260027.091,17142.143,0.0,8517094.5,21278956.0,1495205914309.091,26920310335.5,877993298152.0,260778798743.6,175396568703.333,16057701107.75,168919656015.0,0.0,13056547.333,7921.2,12594781440.0,93343.217,0.0,180423.667,7938.7,0.333,66900.571,0.0,2.0,73350.333,478991.286
01:09:09,339754.0,25713.714,0.0,8921842.3,22287453.0,2246553203173.273,40258845890.75,1319512654203.75,391219827071.0,264584129878.167,24196116092.25,253996279491.25,0.0,13387603.333,11717.2,12594295552.0,136647.783,0.0,225383.667,11942.7,0.333,94960.143,0.0,2.0,73339.0,641087.381
01:19:09,422086.0,34285.286,0.0,9326943.3,23296817.25,2998446058749.273,53632917357.25,1761256470892.25,521659003566.8,354121176195.5,32334477463.25,338944506968.25,0.0,13718659.333,15685.4,12595372800.0,176035.957,0.0,275421.0,16069.4,0.333,123154.0,0.0,2.0,73355.0,799339.286
01:29:09,547618.909,42856.429,0.0,9734841.5,24313133.5,3748031049172.818,66978517163.25,2203450905878.0,652099683639.4,443845430274.167,40484389891.25,423945903992.25,0.0,14049715.333,19702.1,12595642368.0,215968.565,0.0,331214.667,20030.7,0.333,151399.429,0.0,2.0,73387.0,992403.619
01:39:10,617650.364,51427.857,0.0,10139443.5,25321256.5,4498986470275.454,80493677936.5,2645963412259.75,782542274031.4,533800871754.167,48621982067.5,509082268258.25,0.0,14380771.333,23619.3,12595384320.0,258387.696,0.0,377303.0,24023.9,0.333,176670.714,0.0,2.0,73387.0,1136728.286
01:49:10,691040.545,59999.0,0.0,10551405.1,26347587.25,5250040714823.637,93914084228.25,3088349637811.0,912988347047.0,623289014433.667,56768143995.75,594269177498.0,0.0,14711827.333,27668.1,12595376384.0,301348.913,0.0,423383.667,28157.7,0.333,204968.286,0.0,2.0,73387.0,1285176.19
01:59:10,762939.273,68570.429,0.0,10966513.7,27381676.0,6001041735820.182,107323193353.75,3529809109179.75,1043438554764.2,712946078288.833,64898836230.25,679197051443.5,0.0,15042883.333,31624.3,12595426560.0,351369.565,0.0,477242.333,32158.9,0.333,233714.0,0.0,2.0,73371.0,1430643.0
02:09:10,834468.545,77141.714,0.0,11379352.3,28410157.25,6751780681610.728,120636486447.25,3970784359015.5,1173886747764.6,801296918947.5,73028111912.0,764142545848.25,0.0,15373939.333,35349.0,12595689216.0,390879.217,0.0,541791.333,35992.2,0.333,261795.714,0.0,2.0,73403.0,1572743.19
02:19:10,1027820.727,85713.143,0.0,11794628.7,29444607.0,7502925967977.454,134097801864.0,4410149989816.75,1304327408298.2,889349925982.167,81141295612.25,849187326436.75,0.0,15704995.333,39032.2,12595439616.0,546609.87,0.0,599018.0,40023.6,0.333,288709.286,0.0,2.0,73387.0,1849002.333
02:29:10,1101950.0,94284.429,0.0,12202741.1,30461404.5,8253145147656.454,147396800338.5,4849511132521.25,1434772312283.6,977372977959.833,89284356182.25,934113360100.5,0.0,16036150.333,42737.3,12596303616.0,575144.217,0.0,647867.167,44227.0,0.333,324132.571,0.0,2.0,73452.333,2005809.286
02:39:10,2211443.636,102855.857,0.0,12596883.1,31443689.0,9003426928466.637,160860550990.5,5289492458644.25,1565219461138.6,1066047511601.333,97409348394.75,1018977538092.5,0.0,16367206.333,46496.8,12595061504.0,618451.0,0.0,694239.167,48666.9,0.333,359418.714,0.0,2.0,73403.0,3328341.571
02:49:10,3325063.273,111427.143,0.0,12994696.7,32435063.5,9754664802841.727,174083806479.5,5732304681363.5,1695665211587.8,1155328819347.0,105541654945.0,1103842109213.75,0.0,16698262.333,50140.1,12596238592.0,658848.348,0.0,740155.0,53052.6,0.333,387237.857,0.0,2.0,73387.0,4632108.952
02:59:10,4337652.182,119998.571,0.0,13387912.7,33415092.75,10506022788401.0,187401893701.5,6172721547426.75,1826093725283.4,1244626695525.0,113594411464.75,1188208816844.25,0.0,17029318.333,53875.1,12596383488.0,697711.913,0.0,786107.667,57158.3,0.333,414649.714,0.0,2.0,73419.0,5949410.762
