Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),intel_rapl,Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
21:23:37,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8574168320.0,0.0,0.0,0.0,1161074.067,1113.0,0.0,0.5,7615.667,0.0
21:33:37,6397394.182,8570.857,0.0,60460564513.1,150925329231.5,249043825001.455,21725594653.25,437173748172.75,401186660.8,4110279354.5,7227243758.5,89315933825.5,27842924.0,8641685504.0,3016497.652,0.0,162280.667,1161074.067,72982.286,0.0,66023426.5,10239.667,6946807.762
21:43:37,7513868.0,17143.0,0.0,125343103383.2,312887160617.0,498328815413.546,44601192384.75,874100137640.0,830416247.8,7490627019.667,14995287714.0,182829204132.75,55923995.0,8642460672.0,3143803.087,0.0,170005.333,1161074.067,112026.143,0.0,66023426.5,10239.667,8271759.048
