Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:03:58,19493307.455,651161.0,0.0,43210073066.8,107964846191.0,52622137628173.63,8920805843292.75,35790741735868.5,10494358540718.4,910073459511.667,2039901713306.75,22844103521642.754,0.0,35113557.5,189081.3,9181793792.0,3329332.0,0.146,153611995.0,183556.2,1152471.4,2588484.714,0.0,69316611.5,49128.667,299371795.143
00:13:58,19580116.0,659732.429,0.0,43772804419.6,109370889169.0,53315571215299.27,9038574288145.5,36262009663156.25,10632466012681.2,918235301448.833,2066657803308.25,23145220550654.754,0.0,36593392.667,195767.7,9183536896.0,3368628.826,0.146,155580506.333,190127.2,1152471.4,2622364.714,0.0,69316611.5,49128.667,302974051.667
00:23:58,19666549.273,668304.0,0.0,44337088974.8,110780812774.0,54009421326790.45,9156326037493.75,36733209239380.25,10770575250651.0,926670208499.833,2093457141192.75,23446820517140.246,0.0,36925142.833,201476.2,9191803392.0,3409036.783,0.146,157563322.333,195378.9,1152471.4,2656332.0,0.0,69316611.5,49143.333,306596695.571
00:33:58,19752617.909,676875.571,0.0,44891483191.2,112166023800.5,54704473685170.55,9273373258900.25,37204024685262.0,10908572419570.4,935534435139.833,2120040904133.0,23746980525854.0,0.0,37256844.833,206536.7,9182320384.0,3448672.783,0.146,159514274.333,200604.4,1152471.4,2689236.143,0.0,69316611.5,49159.0,310173243.333
00:43:58,19836447.909,685447.143,0.0,45445886802.0,113551257872.75,55399919916085.55,9390184617542.5,37675010809859.75,11046571140397.8,943967330358.167,2146641523935.75,24047378201476.754,0.0,37589922.167,211645.1,9182035200.0,3488477.0,0.146,161456995.667,205757.0,1152471.4,2722602.714,0.0,69316611.5,49192.333,313728200.095
00:53:58,19919528.909,694018.857,0.0,46002765610.4,114942676595.25,56095056584741.73,9507114171553.5,38146111114628.49,11184587921192.4,952145208102.833,2173284032861.5,24347969887380.5,0.0,37920978.167,219339.7,9182070784.0,3523821.957,0.146,163410309.333,212748.0,1152471.4,2755189.0,0.0,69316611.5,49191.0,317300286.048
01:03:59,20017137.182,702590.571,0.0,46554710992.4,116321767976.75,56791808527982.09,9623489183415.5,38617112680113.75,11322562049968.6,960393016500.0,2199833584093.75,24647750915157.754,0.0,38252792.833,224697.5,9182456832.0,3573910.565,0.146,165335883.333,217774.7,1152471.4,2789499.0,0.0,69316611.5,49111.0,321014020.81
01:13:59,20111392.0,711162.429,0.0,47116529763.2,117725530185.25,57486906591603.73,9740736643790.5,39088242825801.51,11460645672694.0,968623287848.333,2226612693859.5,24949541854465.246,0.0,38586183.167,231447.6,9195301632.0,3606237.0,0.146,167204508.0,223440.7,1152471.4,2823186.571,0.0,69316611.5,49128.333,324589374.857
01:23:59,20199690.0,719733.857,0.0,47678334112.2,119129256724.25,58181478233130.45,9858411397045.75,39559515425047.25,11598782733214.6,977266751616.0,2253481904098.5,25251641297966.246,0.0,38918040.833,237439.0,9185536512.0,3649161.696,0.146,169084114.0,228497.6,1152471.4,2855928.429,0.0,69316611.5,49144.333,328183122.857
01:33:59,20299160.273,728305.286,0.0,48240137267.8,120532980420.25,58875075562287.82,9976062235229.25,40030955606007.0,11736932651363.0,985675870371.0,2280367297240.25,25553925104621.0,0.0,39249096.833,243334.8,9182607104.0,3695402.609,0.146,170966878.0,233751.0,1152471.4,2891456.857,0.0,69316611.5,49175.0,331823953.429
01:43:59,20380754.636,736877.0,0.0,48804406444.6,121942866097.75,59569058883012.91,10093873879518.25,40502354343169.75,11875095786950.8,994238175976.667,2307281337600.0,25855933904567.0,0.0,39581978.167,250266.7,9182819328.0,3734938.087,0.146,172855261.333,239838.4,1152471.4,2925101.571,0.0,69316611.5,49175.0,335429436.571
01:53:59,20466072.909,745448.571,0.0,49368694411.8,123352798196.5,60262377297965.82,10211802030083.75,40973801496530.75,12013259523228.0,1002593025209.833,2334200571415.0,26157865533410.0,0.0,39913878.833,256264.6,9182685440.0,3785304.696,0.146,174743476.667,245732.3,1152471.4,2960976.143,0.0,69316611.5,49176.333,339039362.143
