Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
02:23:59,81397746.364,2319722.286,0.0,19040958326508.4,37541520627746.0,217354438528198.72,6220679283476.5,111794307303431.02,34726938636515.6,25773395674400.5,1895394979025.5,27026277286727.754,12292.909,93896602.167,3084039.1,8660742400.0,12590469.826,0.087,4945325.333,2727029.7,33945.467,10519615541.571,0.0,13.5,29685.0,95569085.524
02:33:59,81507654.182,2328293.571,0.0,19096117766735.4,37679276958316.75,218161657082881.62,6243753772707.0,112208840688356.98,34855224721240.8,25870206024140.832,1902251545075.25,27125694199964.754,12292.909,94227658.167,3096471.6,8660767232.0,12626258.304,0.087,4965407.667,2739809.6,33945.467,10557860157.429,0.0,13.5,29669.0,95701391.429
02:43:59,81601926.909,2336865.0,0.0,19150826039062.6,37815906415098.49,218970404565934.9,6266589500975.25,112626230020983.02,34983505497357.2,25964516815957.5,1909052378552.75,27224615879231.5,12292.909,94558714.167,3108853.1,8660759808.0,12677372.0,0.087,4982675.667,2752446.6,33945.467,10595588854.429,0.0,13.5,29701.0,95826918.714
02:53:59,81712212.636,2345436.429,0.0,19432069013118.7,37953080672878.0,219778910875983.62,6289442302410.75,113044385145047.75,35111787049108.4,26057784358503.332,1915865087538.5,27323557047657.246,12292.909,94889770.167,3121126.3,8660517120.0,12716824.0,0.087,5001088.0,2765193.6,33945.467,10633849009.286,0.0,13.5,29686.333,95953813.857
03:03:59,82852036.182,2354008.0,0.0,19485590714557.1,38086746657691.75,220591806933549.0,6311688060839.75,113465029828611.25,35240057007539.0,26148870089905.168,1922510939612.25,27420227336700.246,12292.909,95220826.167,3133609.1,8660474368.0,12766678.913,0.087,5023157.0,2778075.9,33945.467,10670877260.429,0.0,13.5,29669.0,97288697.476
03:13:59,83973997.909,2362579.286,0.0,19539518161565.9,38221425861350.25,221404100203600.47,6334024776135.0,113886864947911.5,35368331983177.4,26240398390688.0,1929191945506.0,27517605367547.0,12292.909,95551882.167,3145982.9,8660871168.0,12813225.261,0.087,5046910.333,2790857.3,33945.467,10708255713.571,0.0,13.5,29685.0,98579476.238
03:23:59,85120155.636,2371150.714,0.0,19594532793744.1,38358820386106.0,222212332998407.2,6356930504887.5,114305785677123.75,35496628019924.4,26332463164293.668,1936020530315.25,27617209314442.754,12292.909,95882938.167,3158355.4,8660857344.0,12859685.826,0.087,5067231.667,2803521.2,33945.467,10746251175.0,0.0,13.5,29701.0,99862067.667
03:33:59,49082967.727,1145622.714,0.0,9342533994537.7,18370177420804.5,107294377678762.19,3053530631473.5,54928264964109.25,17151318032007.6,13061904603974.166,937542445194.25,13253590694178.75,7375.333,47286665.5,1602205.8,8657194240.0,6417015.783,0.049,1958604.0,1279441.8,33873.2,5193408061.857,0.0,13.5,29590.333,56226010.571
03:34:00,86189954.818,2379722.286,0.0,19649485785788.3,38496060858668.49,223020824514112.62,6379760770156.25,114724109726208.0,35624921227320.8,26425240591872.332,1942831149404.25,27716522478131.5,12292.909,96213994.167,3170631.5,8660786688.0,12908313.348,0.087,5098323.333,2816226.9,33945.467,10784360648.571,0.0,13.5,29669.0,101088581.714
03:43:59,49241688.0,1154194.0,0.0,9397648486635.1,18507821329113.246,108100459998661.1,3076470262978.25,55344433263179.51,17279607733098.0,13158170468094.5,944471733718.25,13352449317350.75,7375.333,47617721.5,1611035.4,8657153792.0,6464640.304,0.049,1984961.333,1288283.6,33873.2,5231628906.571,0.0,13.5,29590.333,56436788.571
03:44:00,87889512.364,2388293.286,0.0,19684782845172.1,38584196285955.0,223828303231086.9,6398087535483.5,115126069152576.5,35753043131984.2,26523485101769.668,1947600526030.5,27790143038500.754,13522.303,96858757.833,3187203.3,8660713216.0,12948982.739,0.087,5166849.0,2818730.9,1.2297829382473375e+18,10816958621.143,0.0,13.5,29621.0,103016144.667
03:54:00,89049458.091,2396864.714,0.0,19716668699579.1,38663808993145.51,224637477749658.2,6415717101230.5,115524153818730.75,35881135948759.6,26621585219690.168,1952022721080.25,27859501148469.754,13522.303,97189813.833,3192862.8,8660662272.0,12991871.348,0.087,5195107.0,2824667.4,1.2297829382473375e+18,10848813394.714,0.0,13.5,29669.0,104310205.905
04:04:00,89539700.182,2405436.286,0.0,19749301122288.9,38745286317602.25,225442620366296.8,6433800750182.0,115919020755320.0,36009238702121.8,26719910576681.332,1956541993903.25,27930363290029.5,13522.303,97520869.833,3199882.9,8660693248.0,13024659.783,0.087,5214927.667,2831944.7,1.2297829382473375e+18,10881366432.429,0.0,13.5,29664.0,104896633.524
04:14:00,91183125.455,2414007.571,0.0,19781912681183.9,38826711574865.0,226247597072836.1,6451902852848.25,116314489015996.5,36137339483711.0,26819361209283.0,1961062275556.0,28001184603112.0,13522.303,97851925.833,3211369.4,8660733440.0,13067419.043,0.087,5233789.333,2843596.8,1.2297829382473375e+18,10913816173.0,0.0,13.5,29648.0,106810357.762
04:24:00,92810444.818,2422579.0,0.0,19814552116177.9,38908206562038.0,227052957941711.62,6470038163486.75,116710427085783.5,36265440457044.8,26919387309243.168,1965596076495.5,28072420061834.754,13522.303,98182981.833,3222907.5,8660670720.0,13113593.0,0.087,5253712.333,2855236.0,1.2297829382473375e+18,10946345374.714,0.0,13.5,29680.0,108702998.762
04:34:00,94486461.091,2431150.429,0.0,19847164438557.8,38989633911845.0,227858918918777.62,6488148853435.5,117107006728382.25,36393540401001.2,27020156771750.832,1970130268533.75,28143577344085.246,13522.303,98514037.833,3234115.7,8660725248.0,13154502.696,0.087,5278887.333,2866724.5,1.2297829382473375e+18,10978830854.714,0.0,13.5,29696.0,110656373.333
04:44:00,96121122.636,2439721.714,0.0,19879620711399.9,39070671291600.25,228664389969480.53,6506138734642.75,117504025698503.25,36521630415863.0,27121094076932.0,1974632361770.25,28214110049779.5,13522.303,98845093.833,3245677.4,8660882176.0,13194044.304,0.087,5299622.0,2878403.7,1.2297829382473375e+18,11011215347.429,0.0,13.5,29712.0,112563130.143
04:54:00,97749816.636,2448293.429,0.0,19912254711764.7,39152152183216.0,229468202988857.47,6524244800231.75,117900386036788.25,36649717218363.8,27221739095946.832,1979159637575.25,28285078446020.246,13522.303,99176149.833,3257198.9,8661026816.0,13230283.13,0.087,5317359.0,2889992.5,1.2297829382473375e+18,11043815796.143,0.0,13.5,29680.0,114476188.762
05:04:00,99410906.273,2456864.714,0.0,19944905356721.7,39233674900747.75,230271993415914.2,6542387740863.75,118296325550378.25,36777802584318.0,27321955892439.0,1983685917933.25,28356021289170.246,13522.303,99507205.833,3268575.3,8660901376.0,13269733.87,0.087,5337704.0,2901454.4,1.2297829382473375e+18,11076401921.0,0.0,13.5,29696.0,116402622.19
05:14:00,59317118.364,1231335.714,0.0,10114348470855.7,19741062167832.754,115372228670407.36,3281504521335.25,59109081390456.0,18434254972969.2,14011015408759.0,1006566590465.5,14238642231192.5,7375.333,50597225.5,1686557.3,8657404160.0,6831011.13,0.049,2192465.333,1360483.1,33873.733,5573584874.429,0.0,13.5,29654.333,67889796.429
05:17:13,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573780736.0,0.0,0.0,0.0,0.0,33850.533,239.857,0.0,1.0,18793.0,0.0
05:24:00,59406907.818,1239907.0,0.0,10170698169957.7,19881790917177.5,116175390481482.64,3304904725985.75,59528578025154.0,18562568389056.6,14104159823674.0,1013653514442.0,14339847348064.75,7375.333,50928281.5,1695706.7,8657440512.0,6866388.522,0.049,2200228.0,1369104.5,33873.733,5612529661.571,0.0,13.5,29638.333,68010445.619
05:27:14,5284059.727,8570.714,0.0,51005988422.2,127383732004.25,811494655798.727,20668245229.0,424140856884.75,128332687803.8,81451241556.5,6694729261.25,90886025525.0,1228.364,1789754.5,9435.5,8648623872.0,37389.696,0.0,63268.667,738.1,33850.533,35427327.857,0.0,13.5,21396.667,5608959.667
05:34:00,59523146.091,1248478.286,0.0,10226945703055.3,20022264308544.5,116979100474701.55,3328223502168.25,59946892741670.25,18690881013825.2,14198221335526.5,1020719088824.75,14440595252863.25,7375.333,51259337.5,1704481.0,8657481472.0,6902589.522,0.078,2226622.0,1377359.4,33873.733,5651641519.0,0.0,13.5,29638.333,68178997.0
05:37:14,5398441.818,17142.0,0.0,103579651123.0,258682300849.25,1622754085192.454,41977924045.75,847007829121.5,256694992126.2,171156761962.333,13593644404.75,184383315047.5,1228.364,2120810.5,13567.0,8648629504.0,73467.13,0.0,70791.667,2487.9,33850.533,71936202.286,0.0,13.5,21412.667,5737076.095
05:44:00,59611073.091,1257049.571,0.0,10283280552946.2,20162956086556.754,117782528219109.19,3351674686680.5,60364969795448.0,18819194352114.4,14293015740495.666,1027808311858.0,14541601774298.0,7375.333,51590393.5,1713101.0,8657618944.0,6948974.261,0.078,2242615.0,1385523.6,33873.733,5690680817.429,0.0,13.5,29622.333,68313019.286
05:47:14,5502402.364,25713.429,0.0,156897223961.0,390766329590.5,2432896817712.091,63414556374.25,1269139305447.25,385071327759.6,261507354171.5,20534586996.5,278420069810.5,1228.364,2451866.5,14987.8,8648652544.0,112600.696,0.0,76976.333,6371.8,33851.067,108643405.857,0.0,13.5,21280.333,5878591.857
05:54:01,59690440.455,1265620.857,0.0,10338906860075.3,20301878118504.754,118588444917519.45,3374736468831.5,60778916833195.51,18947494159158.6,14391972486241.334,1034791904376.75,14641268613759.25,7375.333,51921449.5,1722231.7,8657659648.0,6991866.696,0.078,2251967.333,1394184.9,33873.733,5729237904.0,0.0,13.5,29638.333,68441858.429
05:57:14,6249317.182,34284.571,0.0,208516946629.6,519682650068.0,3246940691803.273,84260133573.75,1691364984213.25,513431377896.2,351037247477.167,27306826011.75,370452640322.75,1228.364,2782922.5,21375.3,8648923648.0,159509.826,0.0,91325.667,15079.2,33860.133,144304331.0,0.0,13.5,21376.333,6731578.857
06:04:01,59799600.818,1274192.143,0.0,10395161816359.5,20442370402643.5,119391857147409.73,3398161901883.75,61192873722222.0,19075796409665.2,14491000622749.5,1041868656511.5,14742429948520.5,7375.333,52252505.5,1733760.1,8657432320.0,7028105.957,0.078,2270238.0,1404808.3,33873.733,5768001570.143,0.0,13.5,29622.333,68575771.857
06:07:14,7392950.182,42856.0,0.0,261021119422.8,650807561640.75,4059034208447.182,105460479432.5,2112097828659.0,641803333473.2,442826891322.5,34194255185.5,463956649543.75,1228.364,3113978.5,28922.5,8649192704.0,198602.565,0.0,111260.667,21760.3,33860.133,180770456.714,0.0,13.5,21376.333,8008283.333
06:14:01,59881946.545,1282763.571,0.0,10451352651389.1,20582702391895.5,120195293093150.9,3421513365785.25,61606927535327.0,19204096871970.0,14590083202780.666,1048933344397.25,14843239487679.5,7375.333,52583561.5,1745583.5,8657717504.0,7074570.261,0.078,2288183.667,1415803.7,33873.733,5806961380.286,0.0,13.5,29606.333,68710932.143
06:17:14,8574272.364,51427.429,0.0,313362350524.6,781525148837.75,4870954762129.818,126675771997.0,2530631148535.0,770173441188.6,536678785580.167,41070022078.5,557118696355.75,1228.364,3445034.5,34149.1,8649186816.0,230980.957,0.0,132110.0,26240.8,33860.133,217206261.0,0.0,13.5,21402.333,9384291.762
06:24:01,59973974.091,1291334.857,0.0,10507589522971.9,20723149067836.5,120998198280095.36,3444925484317.75,62021033560597.0,19332397370424.8,14688703257820.334,1056005080181.25,14943863795682.25,7375.333,52914617.5,1757247.4,8657633792.0,7118831.217,0.078,2308030.333,1426705.3,33874.267,5846074380.857,0.0,13.5,29558.333,68846161.238
06:27:14,9746588.273,59998.714,0.0,583692247945.4,910692839825.75,5684631409807.637,147642505441.0,2948042008236.5,898536861600.8,631163223059.0,47865837901.75,649202635129.25,1228.364,3776090.5,38550.5,8649505024.0,274455.478,0.0,152290.333,30792.9,33860.133,253165120.857,0.0,13.5,21402.333,10678925.286
06:34:01,60094306.545,1299906.286,0.0,10564222633679.7,20863513121558.754,121801161830977.55,3468323978935.0,62436697593155.51,19460697044375.4,14785432411515.334,1063072079824.75,15044551774468.25,7375.333,53245673.5,1768929.5,8657844736.0,7168713.783,0.078,2336025.0,1438067.3,33874.267,5885130752.857,0.0,13.5,29606.333,69021216.381
06:37:14,10824272.182,68570.0,0.0,636753399429.0,1043208862330.75,6494251174773.454,169065559686.75,3364785234042.0,1026913681029.6,726348794121.833,54825602489.75,743732893703.75,1228.364,4107146.5,43704.1,8649399808.0,310144.435,0.0,167434.667,35334.3,33861.2,289934414.429,0.0,13.5,21386.333,11863173.81
06:44:01,60208304.909,1308477.571,0.0,10620584467985.1,21004272263723.0,122604818371666.73,3491669876298.5,62853931493633.0,19588998307242.6,14880034608954.5,1070151240052.5,15145766151409.0,7375.333,53576729.5,1780250.3,8657683456.0,7207949.739,0.078,2357268.667,1448735.5,33874.267,5924066859.857,0.0,13.5,29622.333,69152807.0
06:47:14,11968629.455,77141.286,0.0,689761223922.2,1175591859043.5,7302969998517.363,190566164497.0,3784286471742.0,1155290626260.2,819041352427.167,61793034648.5,838051498146.25,1228.364,4438202.5,49530.5,8649190144.0,360536.0,0.0,180090.667,39847.3,33861.2,326670938.286,0.0,13.5,21354.333,13145305.095
06:54:01,60300323.091,1317048.857,0.0,10676144491524.3,21143028709020.246,123411031830200.55,3514722411019.0,63272097929055.75,19717292746059.8,14973923856534.166,1077138109368.0,15245504418282.25,7375.333,53907785.5,1791600.0,8657945856.0,7254303.391,0.078,2363032.667,1459474.2,33874.267,5962395843.429,0.0,13.5,29654.333,69279601.857
