Cycle,Block device statistics (per device),Scheduler accounting (per CPU),Infiniband usage (default),Infiniband usage (ext),InfiniBand usage (sw),Intel Haswell Processor (HSW) (per core),Caching Agent (CBo) for SNB (HSW) (per socket),Home Agent Unit for SNB (HSW) (per socket),Integrated Memory Controller for SNB (HSW) (per socket),Power Control Unit for SNB (HSW) (per socket),QPI Link Layer for SNB (HSW) (per socket),Ring to PCIe Agent for SNB (HSW) (per socket),Lustre filesystem usage (per mount),Lustre network usage (lnet),Lustre network usage (mdc),Memory usage (per socket),Network device usage (per device),NFS system usage,NUMA statistics (per socket),Lustre filesystem usage (osc),"Process specific data (MaxRSS, executable name etc.)",Process statistics,SysV shared memory segment usage,Ram-backed filesystem usage (per mount),Dentry/file/inode cache usage,Virtual memory statistics
00:03:15,104585050.909,2209542.571,0.0,3894167822.0,9707821543.25,208256444722946.62,4923748489940.0,115850404507796.0,32972797412386.2,3576322019311.166,548719563631.75,15370587010337.75,0.0,2455598769.0,178535.6,9066745344.0,12269508.391,0.0,11239040.667,262786.1,36329.933,5379039229.857,0.0,13.5,54239.333,115655725.619
00:13:15,105071023.0,2218113.714,0.0,3910409897.5,9748312777.75,209055395210165.1,4943982441669.5,116299946686548.75,33100704886924.8,3591542162176.834,550974488290.25,15433877847260.5,0.0,2465783077.0,179043.1,9072039936.0,12319333.783,0.0,11278742.333,263549.1,36329.933,5401182072.429,0.0,13.5,54223.333,116094825.143
00:23:15,105245739.727,2226685.0,0.0,3926163433.7,9787583360.0,209855183998904.0,4964245143624.5,116749505672423.02,33228617738992.2,3598914921456.666,553229466049.5,15496721214179.0,0.0,2475935807.0,179575.6,9076889856.0,12362956.913,0.0,11325894.333,264307.6,36329.933,5423293110.143,0.0,13.5,54191.333,116276211.238
00:33:15,105726787.364,2235256.143,0.0,3943542260.3,9830913630.75,210652600165235.9,4984780653798.0,117199051476282.5,33356526655534.6,3599689134204.334,555521587891.0,15560855037890.0,0.0,2485580013.667,180574.4,9082037248.0,12392558.565,0.0,11374385.333,265390.3,36329.933,5445730753.714,0.0,13.5,54223.333,116727808.048
00:43:15,106119758.636,2243827.429,0.0,3958883656.9,9869154986.25,211452325791046.53,5004868378817.75,117648590169640.98,33484433235950.0,3611236163517.834,557772205616.5,15623833279826.0,0.0,2495673138.833,181212.1,9086735104.0,12433137.391,0.0,11419310.0,265983.8,36329.933,5467724452.571,0.0,13.5,54271.333,117053230.714
00:53:15,106277714.909,2252398.429,0.0,3975463416.5,9910490763.75,212252335026664.53,5024920885195.75,118098112532942.75,33612343267580.4,3621300527966.334,560018223797.5,15686926657754.25,0.0,2505850658.833,181896.0,9091855616.0,12468987.13,0.0,11461241.0,266801.8,36329.933,5489782437.286,0.0,13.5,54287.333,117229881.524
01:03:15,106449076.091,2260969.571,0.0,3990085115.5,9946932326.0,213050255179932.1,5045324797902.0,118547657286233.25,33740264997606.6,3621717132531.0,562294326704.5,15751021810123.5,0.0,2515498130.0,182796.2,9096605696.0,12522882.957,0.0,11503534.667,267839.8,36329.933,5512154239.143,0.0,13.5,54255.333,117417014.571
01:13:15,106604800.636,2269540.857,0.0,4005858782.1,9986254294.25,213850415063192.8,5065347871458.0,118997187586939.5,33868181685128.0,3626033707001.666,564523853516.0,15813378597458.25,0.0,2526107976.167,183257.8,9101629440.0,12561536.565,0.0,11550995.667,268712.8,36329.933,5534143554.286,0.0,13.5,54303.333,117587875.333
01:23:16,106737052.727,2278112.0,0.0,4021864533.1,10026156153.75,214651236629067.72,5085327956623.5,119446732771377.75,33996103445204.0,3630372221371.166,566744842153.75,15875742142482.5,0.0,2536137235.833,184179.5,9106207488.0,12601043.652,0.0,11592774.0,269409.9,36329.933,5555959761.857,0.0,13.5,54255.333,117751749.429
01:33:16,106929277.545,2286683.286,0.0,4038295488.9,10067117789.5,215448388870255.72,5105802095444.75,119896288387089.5,34124029389094.4,3630787934272.334,569020565601.0,15939783786988.5,0.0,2545784334.833,184717.9,9111292672.0,12647961.304,0.0,11639630.0,270146.3,36329.933,5578355456.857,0.0,13.5,54287.333,117963637.095
